"","SeqName","Project","SampleType","Mouse","Day","Community","MouseType","Diet","Well","pH","Location","finalDaySamples","Buffer","Replicate","Inoculum","names","Condition","mouse_location","mouse_sampleType"
"c2m7_S176","c2m7_S176","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"G2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S177","c2m7_S177","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"G3","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S178","c2m7_S178","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"G1","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S179","c2m7_S179","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"G2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S18","c2m7_S18","c2m7","p4mp1_d10",NA,NA,NA,NA,NA,"B3","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d10_NA_NA_NA"
"c2m7_S180","c2m7_S180","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"G3","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S181","c2m7_S181","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"H1","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S182","c2m7_S182","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"H2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S183","c2m7_S183","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"H3","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S184","c2m7_S184","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"H1","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S185","c2m7_S185","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"H2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S186","c2m7_S186","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"H3","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S187","c2m7_S187","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"A11","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S188","c2m7_S188","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"B11","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S189","c2m7_S189","c2m7","p4mp2_d12",NA,NA,NA,NA,NA,"C11","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d12_NA_NA_NA"
"c2m7_S19","c2m7_S19","c2m7","p4mp1_d12",NA,NA,NA,NA,NA,"B1","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d12_NA_NA_NA"
"c2m7_S190","c2m7_S190","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"A11","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S191","c2m7_S191","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"B11","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S192","c2m7_S192","c2m7","p4mp2_d14",NA,NA,NA,NA,NA,"C11","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp2_d14_NA_NA_NA"
"c2m7_S193","c2m7_S193","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A1","6",NA,0,0,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S194","c2m7_S194","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A2","7",NA,0,0,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S195","c2m7_S195","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A3","8",NA,0,0,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S196","c2m7_S196","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A4","9",NA,0,0,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S197","c2m7_S197","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A5","6",NA,0,50,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S198","c2m7_S198","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A6","6.5",NA,0,50,NA,2522,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S199","c2m7_S199","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A7","7",NA,0,50,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S2","c2m7_S2","c2m7","p4mp1_d4",NA,NA,NA,NA,NA,"A2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d4_NA_NA_NA"
"c2m7_S20","c2m7_S20","c2m7","p4mp1_d12",NA,NA,NA,NA,NA,"B2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d12_NA_NA_NA"
"c2m7_S200","c2m7_S200","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A8","7.5",NA,0,50,NA,2522,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S201","c2m7_S201","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A9","8",NA,0,50,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S202","c2m7_S202","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A10","8.5",NA,0,50,NA,2522,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S203","c2m7_S203","c2m7","DAY0_1",NA,"0",NA,NA,NA,"A11","9",NA,0,50,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S205","c2m7_S205","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B1","6",NA,0,0,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S206","c2m7_S206","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B2","7",NA,0,0,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S207","c2m7_S207","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B3","8",NA,0,0,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S208","c2m7_S208","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B4","9",NA,0,0,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S209","c2m7_S209","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B5","6",NA,0,50,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S21","c2m7_S21","c2m7","p4mp1_d12",NA,NA,NA,NA,NA,"B3","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d12_NA_NA_NA"
"c2m7_S210","c2m7_S210","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B6","6.5",NA,0,50,NA,2522,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S211","c2m7_S211","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B7","7",NA,0,50,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S212","c2m7_S212","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B8","7.5",NA,0,50,NA,2522,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S213","c2m7_S213","c2m7","DAY0_1",NA,"0",NA,NA,NA,"B9","8",NA,0,50,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
