"","BioHub_Name","Plate","Well","Column","Project","SampleType","Mouse","Date","Day","Isolator","Isolator_2","Community","MouseType","Isolate","Isolate_Source","Diet","DNA.Extracted","S_Number","dedup","hostRemoved","raw"
"117","MouseExp3_p2_H1",2,"H",1,"MouseExp3","Stool","m3","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","","","","Normal","","S181",37471976,37110501,382905063
"118","MouseExp3_p2_H2",2,"H",2,"MouseExp3","Stool","m4","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","","","","Normal","","S182",37302247,36922965,461831896
"119","MouseExp3_p2_H3",2,"H",3,"MouseExp3","Stool","m5","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","","","","Normal","","S183",29918474,28278076,300855950
"120","MouseExp3_p2_H4",2,"H",4,"MouseExp3","Stool","m6","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","","","","Normal","","S184",29946907,29247188,317011398
"121","MouseExp3_p2_H5",2,"H",5,"MouseExp3","Stool","m7","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","","","","Normal","","S185",28778993,28435138,367542536
"122","MouseExp3_p2_H6",2,"H",6,"MouseExp3","Stool","m8","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","","","","Normal","","S186",28404371,28280980,298088652
"123","MouseExp3_p2_H7",2,"H",7,"MouseExp3","Stool","m9","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","","","","noFiber","","S187",19829460,18376902,190444801
"124","MouseExp3_p2_H8",2,"H",8,"MouseExp3","Stool","m10","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","","","","noFiber","","S188",24347620,21638735,279529574
"125","MouseExp3_p2_H9",2,"H",9,"MouseExp3","Stool","m11","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","","","","noFiber","","S189",16695897,16536170,103547722
"126","MouseExp3_p3_A1",3,"A",1,"MouseExp3","Stool","m15","4.20.22",NA,NA,NA,"syn_SI_syn_Stool_syn_All","","","","Normal","","S193",33623060,32941978,342897144
"127","MouseExp3_p3_A2",3,"A",2,"MouseExp3","Stool","m16","4.20.22",NA,NA,NA,"syn_SI_syn_Stool_syn_All","","","","Normal","","S194",33390927,30288367,315801673
"128","MouseExp3_p3_A3",3,"A",3,"MouseExp3","Stool","m17","4.20.22",NA,NA,NA,"syn_SI_syn_Stool_syn_All","","","","noFiber","","S195",30671925,27405023,290038740
"129","MouseExp3_p3_A4",3,"A",4,"MouseExp3","Stool","m18","4.20.22",NA,NA,NA,"syn_SI_syn_Stool_syn_All","","","","noFiber","Contaminated post-DNA allocation with A5","S196",29651956,29201430,325409820
"130","MouseExp3_p3_A5",3,"A",5,"MouseExp3","Stool","m19","4.20.22",NA,NA,NA,"syn_SI_syn_Stool_syn_All","","","","noFiber","","S197",21094901,11783677,149544688
"131","MouseExp3_p3_A6",3,"A",6,"MouseExp3","Stool","m20","4.20.22",NA,NA,NA,"syn_SI_syn_Stool_syn_All","","","","noFiber","","S198",31381033,30767705,301338043
"132","MouseExp3_p3_C12_original_2522_capsule_",3,"C",12,"MouseExp3",NA,"","",NA,NA,NA,"","","","","","","S228",19603324,19601723,206622052
