"","cor","p.vals.adj","Mouse1","Mouse2","Location","Location2","Diet","Community"
"1",0.97441264106716,0,"1L","1L","Distal","Mid","MD","DualCom"
"2",0.942949605799788,0,"1L","1L","Distal","Proximal","MD","DualCom"
"3",0.884585033516434,0,"1R","1R","Distal","Mid","MD","DualCom"
"4",0.854161256619894,0,"1R","1R","Distal","Proximal","MD","DualCom"
"5",0.920153154908,0,"2L","2L","Distal","Mid","MD","DualCom"
"6",0.888012322429241,0,"2L","2L","Distal","Proximal","MD","DualCom"
"7",0.670803168756553,0,"2R","2R","Distal","Mid","MD","DualCom"
"8",0.563782557307648,3.08503222967715e-09,"2R","2R","Distal","Proximal","MD","DualCom"
"9",0.745787707360895,0,"B","B","Distal","Mid","MD","DualCom"
"10",0.476515729372284,1.46908551323932e-05,"B","B","Distal","Proximal","MD","DualCom"
"11",0.691301826009989,0,"1L","1L","Distal","Mid","SD","DualCom"
"12",0.731632995616482,0,"1L","1L","Distal","Proximal","SD","DualCom"
"13",0.633368026908038,6.32827124036339e-13,"1R","1R","Distal","Mid","SD","DualCom"
"14",0.487290899408306,5.85086139537339e-06,"1R","1R","Distal","Proximal","SD","DualCom"
"15",0.697051866239095,0,"2L","2L","Distal","Mid","SD","DualCom"
"16",0.580194067628176,4.69557726034964e-10,"2L","2L","Distal","Proximal","SD","DualCom"
"17",0.583408265380485,3.20210524762388e-10,"B","B","Distal","Mid","SD","DualCom"
"18",0.689224516053151,0,"B","B","Distal","Proximal","SD","DualCom"
"19",0.917872507607099,0,"1L","1L","Distal","Mid","MD","StoolCom"
"20",0.866817752435345,0,"1L","1L","Distal","Proximal","MD","StoolCom"
"21",0.77584058166236,0,"1R","1R","Distal","Mid","MD","StoolCom"
"22",0.77752863255656,0,"1R","1R","Distal","Proximal","MD","StoolCom"
"23",0.945398793259408,0,"2L","2L","Distal","Mid","MD","StoolCom"
"24",0.908465881713682,0,"2L","2L","Distal","Proximal","MD","StoolCom"
"25",0.686703748426516,0,"2R","2R","Distal","Mid","MD","StoolCom"
"26",0.75209973560841,0,"2R","2R","Distal","Proximal","MD","StoolCom"
"27",0.96705500963321,0,"B","B","Distal","Mid","MD","StoolCom"
"28",0.880283336915724,0,"B","B","Distal","Proximal","MD","StoolCom"
"29",0.781802312222471,0,"1L","1L","Distal","Mid","SD","StoolCom"
"30",0.69122847702928,0,"1L","1L","Distal","Proximal","SD","StoolCom"
"31",0.892105097546521,0,"1R","1R","Distal","Mid","SD","StoolCom"
"32",0.902430109232387,0,"1R","1R","Distal","Proximal","SD","StoolCom"
"33",0.759085304265979,0,"2L","2L","Distal","Mid","SD","StoolCom"
"34",0.781375999536199,0,"2L","2L","Distal","Proximal","SD","StoolCom"
"35",0.775144535419255,0,"2R","2R","Distal","Mid","SD","StoolCom"
"36",0.604108548008059,2.46802578374172e-11,"2R","2R","Distal","Proximal","SD","StoolCom"
"37",0.849643882994878,0,"B","B","Distal","Mid","SD","StoolCom"
"38",0.736477521572968,0,"B","B","Distal","Proximal","SD","StoolCom"
"39",0.973332332071325,0,"1L","1L","Mid","Proximal","MD","DualCom"
"40",0.930665698611375,0,"1R","1R","Mid","Proximal","MD","DualCom"
"41",0.902760314083323,0,"2L","2L","Mid","Proximal","MD","DualCom"
"42",0.922354331824688,0,"2R","2R","Mid","Proximal","MD","DualCom"
"43",0.876205482417222,0,"B","B","Mid","Proximal","MD","DualCom"
"44",0.377858910236975,0.0177781482584738,"1L","1L","Mid","Proximal","SD","DualCom"
"45",0.623639155542376,1.89848137210902e-12,"1R","1R","Mid","Proximal","SD","DualCom"
"46",0.713122010119684,0,"2L","2L","Mid","Proximal","SD","DualCom"
"47",0.917395195784316,0,"B","B","Mid","Proximal","SD","DualCom"
"48",0.910077930024918,0,"1L","1L","Mid","Proximal","MD","StoolCom"
"49",0.7473141692778,0,"1R","1R","Mid","Proximal","MD","StoolCom"
"50",0.938354031428097,0,"2L","2L","Mid","Proximal","MD","StoolCom"
"51",0.914458481676364,0,"2R","2R","Mid","Proximal","MD","StoolCom"
"52",0.943108715399889,0,"B","B","Mid","Proximal","MD","StoolCom"
"53",0.843900045980568,0,"1L","1L","Mid","Proximal","SD","StoolCom"
"54",0.969517097142456,0,"1R","1R","Mid","Proximal","SD","StoolCom"
"55",0.939245810517681,0,"2L","2L","Mid","Proximal","SD","StoolCom"
"56",0.784463846154459,0,"2R","2R","Mid","Proximal","SD","StoolCom"
"57",0.957470319818229,0,"B","B","Mid","Proximal","SD","StoolCom"
"58",0.978754606849035,0,"1L","1R","Stool","Stool","MD","DualCom"
"59",0.955789059000794,0,"1L","2L","Stool","Stool","MD","DualCom"
"60",0.919732427153763,0,"1R","2L","Stool","Stool","MD","DualCom"
"61",0.957640235759362,0,"1L","2R","Stool","Stool","MD","DualCom"
"62",0.951488042829649,0,"1R","2R","Stool","Stool","MD","DualCom"
"63",0.942009925356379,0,"2L","2R","Stool","Stool","MD","DualCom"
"64",0.946979244110243,0,"1L","B","Stool","Stool","MD","DualCom"
"65",0.935774473044042,0,"1R","B","Stool","Stool","MD","DualCom"
"66",0.934300097266114,0,"2L","B","Stool","Stool","MD","DualCom"
"67",0.95671297092173,0,"2R","B","Stool","Stool","MD","DualCom"
"68",0.942498202743331,0,"1L","1R","Stool","Stool","SD","DualCom"
"69",0.929220987883275,0,"1L","2L","Stool","Stool","SD","DualCom"
"70",0.913021483180276,0,"1R","2L","Stool","Stool","SD","DualCom"
"71",0.948873198455049,0,"1L","B","Stool","Stool","SD","DualCom"
"72",0.931664923929263,0,"1R","B","Stool","Stool","SD","DualCom"
"73",0.941144543348662,0,"2L","B","Stool","Stool","SD","DualCom"
"74",0.851195345989279,0,"1L","1R","Stool","Stool","MD","StoolCom"
"75",0.798495692941831,0,"1L","2L","Stool","Stool","MD","StoolCom"
"76",0.870052622139265,0,"1R","2L","Stool","Stool","MD","StoolCom"
"77",0.800582890716353,0,"1L","2R","Stool","Stool","MD","StoolCom"
"78",0.944466618531801,0,"1R","2R","Stool","Stool","MD","StoolCom"
"79",0.883276166766425,0,"2L","2R","Stool","Stool","MD","StoolCom"
"80",0.769520575979287,0,"1L","B","Stool","Stool","MD","StoolCom"
"81",0.822221187233507,0,"1R","B","Stool","Stool","MD","StoolCom"
"82",0.895320713623077,0,"2L","B","Stool","Stool","MD","StoolCom"
"83",0.892076884973452,0,"2R","B","Stool","Stool","MD","StoolCom"
"84",0.872854328088207,0,"1L","1R","Stool","Stool","SD","StoolCom"
"85",0.922321567466007,0,"1L","2L","Stool","Stool","SD","StoolCom"
"86",0.905729888143635,0,"1R","2L","Stool","Stool","SD","StoolCom"
"87",0.873193329061738,0,"1L","2R","Stool","Stool","SD","StoolCom"
"88",0.97958050618416,0,"1R","2R","Stool","Stool","SD","StoolCom"
"89",0.894686051902867,0,"2L","2R","Stool","Stool","SD","StoolCom"
"90",0.891084117325253,0,"1L","B","Stool","Stool","SD","StoolCom"
"91",0.944151716757827,0,"1R","B","Stool","Stool","SD","StoolCom"
"92",0.908835551082508,0,"2L","B","Stool","Stool","SD","StoolCom"
"93",0.95213126114259,0,"2R","B","Stool","Stool","SD","StoolCom"
